Delta,Feature,Mu_star,Morris_sensitivity
-0.01,UNDER5,-2.1325152894363375e-05,-1.8034261865093087e-06
-0.01,VaccinationFull,-0.00020718341924966447,-3.8405018242336457e-05
-0.009,UNDER5,-3.136749192169758e-05,-2.652687022547014e-06
-0.009,VaccinationFull,-0.0002441113464435238,-4.525024612142088e-05
-0.008,UNDER5,-2.8498137425838244e-05,-2.410031363202189e-06
-0.008,VaccinationFull,-0.000302789620404828,-5.612727571227389e-05
-0.007,UNDER5,-3.096495556191865e-05,-2.618645315280318e-06
-0.007,VaccinationFull,-0.0003701288246914429,-6.86097580384075e-05
-0.006,UNDER5,-2.629093300558027e-05,-2.2233724318364753e-06
-0.006,VaccinationFull,0.00016605694676063437,3.0781517617120724e-05
-0.005,UNDER5,-1.9719379068790035e-05,-1.6676290561911655e-06
-0.005,VaccinationFull,0.00016721127736717438,3.099549269370943e-05
-0.004,UNDER5,-2.3386642472689933e-05,-1.977762300636435e-06
-0.004,VaccinationFull,0.00017019499096648192,3.1548575443411654e-05
-0.003,UNDER5,-1.571609438839331e-05,-1.329079154090005e-06
-0.003,VaccinationFull,0.00017604252515102836,3.263251670590994e-05
-0.002,UNDER5,6.344236083262976e-06,5.365195524097678e-07
-0.002,VaccinationFull,0.00016753319451748815,3.105516558681591e-05
-0.001,UNDER5,-1.0577618146558624e-05,-8.945283370719467e-07
-0.001,VaccinationFull,0.00018017258813682297,3.33980950754816e-05
0.001,UNDER5,-9.485739594243696e-05,-8.02190318044046e-06
0.001,VaccinationFull,0.00019582626223704118,3.6299773412269855e-05
0.002,UNDER5,-4.7001524014356015e-05,-3.974826329884855e-06
0.002,VaccinationFull,0.00016881566936957437,3.129289440830214e-05
0.003,UNDER5,-5.5229566275483735e-05,-4.6706556611411445e-06
0.003,VaccinationFull,0.00018014495167335612,3.3392972180573106e-05
0.004,UNDER5,-5.9391474726365146e-05,-5.0226200631482134e-06
0.004,VaccinationFull,0.0001776178829837632,3.292453643665626e-05
0.005,UNDER5,-4.471884743014484e-05,-3.781784866234381e-06
0.005,VaccinationFull,0.0001685719443512418,3.124771577475571e-05
0.006,UNDER5,-4.933164319418526e-05,-4.171879920422176e-06
0.006,VaccinationFull,0.00017231771754762249,3.194205940736708e-05
0.007,UNDER5,-3.455701511153735e-05,-2.922418717861429e-06
0.007,VaccinationFull,0.00017272428895208112,3.201742442577248e-05
0.008,UNDER5,-3.1746851355440326e-05,-2.6847687028191324e-06
0.008,VaccinationFull,0.0001804341815582591,3.344658592556369e-05
0.009,UNDER5,-3.487096957199399e-05,-2.9489692283390616e-06
0.009,VaccinationFull,0.00038611511958814296,7.157309337363187e-05
0.01,UNDER5,-2.9261725764065812e-05,-2.474606525298059e-06
0.01,VaccinationFull,0.0003633335833068353,6.735014290954212e-05
