Delta,Feature,Mu_star,Morris_sensitivity
0.001,Health Care and Social Assistance,0.006642715201791253,0.000553302915279445
0.001,VaccinationFull,0.0031839579634609437,0.0006028443823360008
0.002,Health Care and Social Assistance,0.009324007826362224,0.0007766403580005086
0.002,VaccinationFull,0.002409945943747476,0.0004562944582165238
0.003,Health Care and Social Assistance,0.009112747440703395,0.0007590434892928798
0.003,VaccinationFull,0.0021904202005187004,0.00041472988274086323
0.004,Health Care and Social Assistance,0.007225450612577734,0.0006018416817070315
0.004,VaccinationFull,0.0019496198247866037,0.00036913720989768947
0.005,Health Care and Social Assistance,0.005967859186379133,0.0004970909914834788
0.005,VaccinationFull,0.0017304394812262401,0.0003276380317206593
0.006,Health Care and Social Assistance,0.00504385098060189,0.000420126012786091
0.006,VaccinationFull,0.00155945507359682,0.00029526417792316735
0.007,Health Care and Social Assistance,0.004342174740772354,0.00036168010666395135
0.007,VaccinationFull,0.0014403778992104802,0.00027271833828990176
0.008,Health Care and Social Assistance,0.003825396122629763,0.00031863519095007666
0.008,VaccinationFull,0.001371305179096234,0.0002596402443667403
0.009,Health Care and Social Assistance,0.003426775735601868,0.0002854322286775288
0.009,VaccinationFull,0.00128616701156507,0.0002435203500064663
