Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE3039,4.8983249041228276e-08,4.215896820573846e-09
-0.01,VaccinationFull,2.8944430574021513e-06,5.365349158900598e-07
-0.009,AGE3039,2.965360763942062e-06,2.5522306627793034e-07
-0.009,VaccinationFull,-5.72196563621793e-06,-1.060664967480634e-06
-0.008,AGE3039,6.571700854771306e-06,5.656140268701548e-07
-0.008,VaccinationFull,-1.620771371911595e-05,-3.0043791308373385e-06
-0.007,AGE3039,9.181636390947854e-06,7.902463071749627e-07
-0.007,VaccinationFull,-3.7464902015084085e-05,-6.944765418717175e-06
-0.006,AGE3039,1.3758670389741893e-05,1.184183080681613e-06
-0.006,VaccinationFull,8.82288537120151e-05,1.6354738948618166e-05
-0.005,AGE3039,1.0946707881065778e-05,9.421627159254408e-07
-0.005,VaccinationFull,8.905650226074705e-05,1.650815787435754e-05
-0.004,AGE3039,1.4018119602805597e-05,1.2065133902030377e-06
-0.004,VaccinationFull,8.794768446228996e-05,1.6302619381309233e-05
-0.003,AGE3039,-1.5218955706489793e-05,-1.3098671123559189e-06
-0.003,VaccinationFull,8.874274898527351e-05,1.6449998296183797e-05
-0.002,AGE3039,-6.924840061441348e-06,-5.960080592743162e-07
-0.002,VaccinationFull,9.297239853769864e-05,1.7234036752580886e-05
-0.001,AGE3039,-8.005521081144712e-06,-6.890202576114902e-07
-0.001,VaccinationFull,8.672894024793976e-05,1.607670413213353e-05
0.001,AGE3039,-7.620516555606652e-06,-6.558836366871354e-07
0.001,VaccinationFull,8.904849721615667e-05,1.6506674001349565e-05
0.002,AGE3039,-1.7060513037905232e-05,-1.4683665147104695e-06
0.002,VaccinationFull,9.137186611036902e-05,1.693735047675988e-05
0.003,AGE3039,-1.3340629172243472e-05,-1.1482030533413069e-06
0.003,VaccinationFull,8.777864936893028e-05,1.6271285812881873e-05
0.004,AGE3039,-1.0174745217917004e-05,-8.757213303319419e-07
0.004,VaccinationFull,8.564540028373981e-05,1.5875851321411003e-05
0.005,AGE3039,-1.4778551189818205e-05,-1.2719623175955843e-06
0.005,VaccinationFull,8.718294063399502e-05,1.616086092987162e-05
0.006,AGE3039,-1.2593094601515389e-05,-1.0838641480688336e-06
0.006,VaccinationFull,8.917127299925935e-05,1.6529432609190157e-05
0.007,AGE3039,-6.636222807501926e-06,-5.711673109151818e-07
0.007,VaccinationFull,9.007581127192406e-05,1.6697104370706545e-05
0.008,AGE3039,-8.818295176982018e-06,-7.589742070443097e-07
0.008,VaccinationFull,9.172732820944252e-05,1.7003241504375976e-05
0.009,AGE3039,-7.410595908775189e-06,-6.37816158419112e-07
0.009,VaccinationFull,0.00035383848331653624,6.559006244721123e-05
0.01,AGE3039,-6.489422814613775e-06,-5.585325095210051e-07
0.01,VaccinationFull,0.00032562739318325146,6.036065058052415e-05
