Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE75PLUS,-7.843895418938634e-06,-6.846278922211409e-07
-0.01,VaccinationFull,-0.0004914893440461948,-9.110602234661526e-05
-0.009,AGE75PLUS,-7.852355776911817e-06,-6.853663259632114e-07
-0.009,VaccinationFull,-0.000516322675966249,-9.57093085017607e-05
-0.008,AGE75PLUS,-1.3513098969755288e-05,-1.1794451571475763e-06
-0.008,VaccinationFull,-0.000552236994831314,-0.0001023666466042457
-0.007,AGE75PLUS,-1.768726854867109e-05,-1.543773436396029e-06
-0.007,VaccinationFull,-0.0006076990800837554,-0.00011264750017637092
-0.006,AGE75PLUS,-1.599150604156286e-05,-1.395764539165444e-06
-0.006,VaccinationFull,-0.00024065665615162718,-4.460985972292231e-05
-0.005,AGE75PLUS,-1.7909000115412187e-05,-1.563126526546916e-06
-0.005,VaccinationFull,-0.0002428701939280963,-4.502017710736009e-05
-0.004,AGE75PLUS,-2.5612449885956835e-05,-2.235496095180589e-06
-0.004,VaccinationFull,-0.0002437113192235246,-4.517609418041547e-05
-0.003,AGE75PLUS,-5.287459016155931e-07,-4.614979838584233e-08
-0.003,VaccinationFull,-0.0002446305095867342,-4.53464819594911e-05
-0.002,AGE75PLUS,-9.649414166672314e-06,-8.422164918399157e-07
-0.002,VaccinationFull,-0.000247951967770749,-4.596217149010228e-05
-0.001,AGE75PLUS,-1.0878760300197303e-05,-9.495158128091015e-07
-0.001,VaccinationFull,-0.0002566574537628039,-4.7575883386276683e-05
0.001,AGE75PLUS,3.159943702983595e-05,2.7580500266331386e-06
0.001,VaccinationFull,-0.00021899467194649297,-4.059443753529601e-05
0.002,AGE75PLUS,-4.243150123658928e-07,-3.703490128800775e-08
0.002,VaccinationFull,-0.0002289242626738291,-4.243505834560681e-05
0.003,AGE75PLUS,9.684833312379816e-06,8.453079322244283e-07
0.003,VaccinationFull,-0.00023485609601346189,-4.353462590967222e-05
0.004,AGE75PLUS,1.70481242784201e-05,1.4879878896496186e-06
0.004,VaccinationFull,-0.00023314025282477062,-4.3216564796474415e-05
0.005,AGE75PLUS,1.6558434735232642e-05,1.4452469934635594e-06
0.005,VaccinationFull,-0.00022702544703735736,-4.208308013508382e-05
0.006,AGE75PLUS,1.2604530379501667e-05,1.1001438195262447e-06
0.006,VaccinationFull,-0.00022291444368153986,-4.1321034796483525e-05
0.007,AGE75PLUS,1.1758838714391356e-05,1.0263304817354916e-06
0.007,VaccinationFull,-0.00022022238439744848,-4.082201520172342e-05
0.008,AGE75PLUS,-5.183623740343017e-07,-4.5243507286570956e-08
0.008,VaccinationFull,-0.0002215999446803358,-4.1077369746917274e-05
0.009,AGE75PLUS,-6.540470856902527e-06,-5.708628860710728e-07
0.009,VaccinationFull,-0.00017953885544008335,-3.3280621795683464e-05
0.01,AGE75PLUS,-1.692542791044231e-06,-1.477278751994748e-07
0.01,VaccinationFull,-0.00018336393258019387,-3.398966578132821e-05
