Delta,Feature,Mu_star,Morris_sensitivity
0.0002,AGE1829,0.007626606107384345,0.0005997685449223292
0.0002,VaccinationFull,0.0049821563041234935,0.000923528554741449
0.0004,AGE1829,0.006861177323637106,0.00053957399686179
0.0004,VaccinationFull,0.003610913607872506,0.0006693450831349243
0.0006,AGE1829,0.007031257122964915,0.0005529493452575532
0.0006,VaccinationFull,0.0033554780352214866,0.0006219956964758375
0.0008,AGE1829,0.007169585365591131,0.0005638277002733261
0.0008,VaccinationFull,0.003044001591378956,0.0005642581682935486
0.001,AGE1829,0.00713180000652953,0.0005608561989915434
0.001,VaccinationFull,0.0027446324598188994,0.0005087649391519747
0.002,AGE1829,0.006099480891930141,0.0004796729669560909
0.002,VaccinationFull,0.0019667386780666167,0.000364568917158555
0.004,AGE1829,0.004960896239865503,0.00039013284249909166
0.004,VaccinationFull,0.001612160945824051,0.0002988418221795292
0.006,AGE1829,0.004223570483443921,0.00033214836161256063
0.006,VaccinationFull,0.0013752269530674572,0.00025492202228916545
0.008,AGE1829,0.0036499906142331206,0.00028704112010703514
0.008,VaccinationFull,0.0013104234169939606,0.00024290956977687504
0.01,AGE1829,0.0031311983502446844,0.0002462424638098345
0.01,VaccinationFull,0.0031633801542684716,0.0005863870428054175
