Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE1829,1.5247703981705302e-05,1.1991039135558867e-06
2e-06,VaccinationFull,0.06871782816492508,0.012738034027073639
4e-06,AGE1829,1.1912268735707267e-05,9.367999324655364e-07
4e-06,VaccinationFull,0.03473939194588103,0.006439545144302843
6e-06,AGE1829,1.2388759485135556e-05,9.742719297641578e-07
6e-06,VaccinationFull,0.02332477809038916,0.004323649697953791
8e-06,AGE1829,0.002266904740405093,0.00017827302714819158
8e-06,VaccinationFull,0.017637960264868642,0.0032694999830734897
1e-05,AGE1829,0.0036736960290171777,0.0002889053519726415
1e-05,VaccinationFull,0.014211288952623824,0.002634307385452209
2e-05,AGE1829,0.005381319752280815,0.0004231956222915762
2e-05,VaccinationFull,0.013510895200039182,0.0025044773298316977
4e-05,AGE1829,0.007631606877799595,0.0006001618135339783
4e-05,VaccinationFull,0.0070305971832769565,0.0013032423832763252
6e-05,AGE1829,0.006504773758257857,0.0005115458484556892
6e-05,VaccinationFull,0.007188863585699563,0.0013325797892048599
8e-05,AGE1829,0.006983615195383327,0.0005492027076076505
8e-05,VaccinationFull,0.005528817463766341,0.0010248616241757414
0.0001,AGE1829,0.005953813857903917,0.0004682174776059239
0.0001,VaccinationFull,0.0045327135520865,0.0008402165930343849
