Delta,Feature,Mu_star,Morris_sensitivity
0.0001,AGE3039,0.0042327864498588625,0.0003643080294879632
0.0001,VaccinationFull,0.002077599730564727,0.0003851189242922047
0.0002,AGE3039,0.0042580071052261016,0.00036647872422252515
0.0002,VaccinationFull,0.0024749977804954153,0.00045878350330306463
0.0003,AGE3039,0.0029059661920258256,0.0002501110863296372
0.0003,VaccinationFull,0.002123190365470026,0.0003935699343757278
0.0004,AGE3039,0.0037226935727808887,0.00032040528761675003
0.0004,VaccinationFull,0.0024446619969330633,0.00045316024288325385
0.0005,AGE3039,0.003836085982385337,0.00033016476067102284
0.0005,VaccinationFull,0.0022458219307058885,0.0004163018089486358
0.0006,AGE3039,0.00328409019114214,0.0002826555131869775
0.0006,VaccinationFull,0.002390231664474621,0.00044307064247713307
0.0007,AGE3039,0.003594324242080625,0.00030935677891731845
0.0007,VaccinationFull,0.0023449668584817882,0.0004346800303992634
0.0008,AGE3039,0.003720722687918566,0.00032023565723519263
0.0008,VaccinationFull,0.002412800251745667,0.0004472541191712975
0.0009,AGE3039,0.0038496116487986088,0.0003313288895343381
0.0009,VaccinationFull,0.0022778274966844874,0.0004222345923234636
0.001,AGE3039,0.0038802242734863788,0.0003339636610045189
0.001,VaccinationFull,0.0021911751126169558,0.00040617207919906506
