Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE3039,-2.144208372427308e-05,-1.8454801257375789e-06
2e-06,VaccinationFull,-0.0007747739585704007,-0.00014361770898629309
4e-06,AGE3039,-1.8106648478275045e-05,-1.5584054395117332e-06
4e-06,VaccinationFull,-0.00033044633472851956,-6.125392446617113e-05
6e-06,AGE3039,-1.2547589734944986e-05,-1.0799476291353236e-06
6e-06,VaccinationFull,-0.00019631418876445573,-3.639021900513699e-05
8e-06,AGE3039,-1.4890335919634084e-05,-1.2815834206510964e-06
8e-06,VaccinationFull,-0.0001319879375916365,-2.4466239476754727e-05
1e-05,AGE3039,-1.4390020632734376e-05,-1.2385222177172193e-06
1e-05,VaccinationFull,-9.496460636105832e-05,-1.7603326814863597e-05
2e-05,AGE3039,-8.176581260189467e-05,-7.037430879479299e-06
2e-05,VaccinationFull,-3.297315986043771e-05,-6.112143580474465e-06
4e-05,AGE3039,-4.719640873087219e-05,-4.062106810095714e-06
4e-05,VaccinationFull,2.2585661522900977e-05,4.186641701076441e-06
6e-05,AGE3039,-8.899258896822374e-05,-7.65942603296863e-06
6e-05,VaccinationFull,4.1526168812675524e-05,7.697591228877885e-06
8e-05,AGE3039,-9.642981541555032e-06,-8.299534232136499e-07
8e-05,VaccinationFull,4.930488029709237e-05,9.139509494069296e-06
0.0001,AGE3039,-1.0163547685305439e-05,-8.747575795996122e-07
0.0001,VaccinationFull,5.429612089735371e-05,1.0064721979697475e-05
0.0002,AGE3039,2.0808351027533448e-05,1.7909359353546676e-06
0.0002,VaccinationFull,7.064928341773265e-05,1.30960625531351e-05
0.0004,AGE3039,8.886551313530126e-06,7.648488853208695e-07
0.0004,VaccinationFull,7.8268370501091e-05,1.4508391683941265e-05
0.0006,AGE3039,-6.994884201607307e-06,-6.02036627685059e-07
0.0006,VaccinationFull,9.184200364980492e-05,1.702449857405373e-05
0.0008,AGE3039,1.364967313081017e-05,1.1748018900424468e-06
0.0008,VaccinationFull,8.482964812071858e-05,1.5724637595836256e-05
0.001,AGE3039,8.561585785727527e-06,7.368797088722848e-07
0.001,VaccinationFull,8.755326924445069e-05,1.6229507721645393e-05
0.002,AGE3039,-4.4685302481385095e-06,-3.8459805820371136e-07
0.002,VaccinationFull,8.906565088313609e-05,1.65098537292238e-05
0.004,AGE3039,4.669609344397248e-07,4.019045607161838e-08
0.004,VaccinationFull,8.683638891193583e-05,1.609662159423464e-05
0.006,AGE3039,2.7762733515439353e-06,2.389486656135556e-07
0.006,VaccinationFull,8.643621609754097e-05,1.6022442664798202e-05
0.008,AGE3039,6.3624618544286075e-06,5.476052166431656e-07
0.008,VaccinationFull,8.924439447551538e-05,1.6542986935302206e-05
0.01,AGE3039,7.650535472820634e-07,6.58467308863168e-08
0.01,VaccinationFull,-0.00011651823656977256,-2.1598663721417642e-05
