Delta,Feature,Mu_star,Morris_sensitivity
-0.001,AGE5064,9.76996632627767e-06,8.306140888086885e-07
-0.001,VaccinationFull,-0.00026414169396407405,-4.896321632296039e-05
-0.0008,AGE5064,1.1925967844753328e-05,1.0139110600502566e-06
-0.0008,VaccinationFull,-0.0002708045832360172,-5.019829770622151e-05
-0.0006,AGE5064,4.39189465260546e-05,3.73386095017126e-06
-0.0006,VaccinationFull,-0.00027528458896970443,-5.102874399652381e-05
-0.0004,AGE5064,4.144635661214628e-05,3.5236485553941546e-06
-0.0004,VaccinationFull,-0.00026389129807524947,-4.891680112857398e-05
-0.0002,AGE5064,-6.504098729696166e-07,-5.5295953532181995e-08
-0.0002,VaccinationFull,-0.00028970637565240066,-5.370207076486235e-05
0.0002,AGE5064,-1.247929272752693e-05,-1.060953130408679e-06
0.0002,VaccinationFull,-0.00017101014751606634,-3.169967876176854e-05
0.0004,AGE5064,-2.766982014591582e-05,-2.35240753964365e-06
0.0004,VaccinationFull,-0.0001942200119207184,-3.600202722715743e-05
0.0006,AGE5064,-3.524602073521066e-05,-2.9965140533153873e-06
0.0006,VaccinationFull,-0.00021106793066925372,-3.912507939622694e-05
0.0008,AGE5064,-7.865015871407042e-05,-6.686607479827015e-06
0.0008,VaccinationFull,-0.00021862169881237792,-4.052530053547496e-05
0.001,AGE5064,-4.8727373508785285e-05,-4.142659411034087e-06
0.001,VaccinationFull,-0.00021742129949188074,-4.030278582860921e-05
