Delta,Feature,Mu_star,Morris_sensitivity
0.0002,AGE75PLUS,0.004505810884373778,0.00039327446934947816
0.0002,VaccinationFull,0.003118181671249952,0.0005780087248341304
0.0004,AGE75PLUS,0.004503440342895373,0.0003930675646510977
0.0004,VaccinationFull,0.0031140814683511217,0.0005772486815464139
0.0006,AGE75PLUS,0.004632405740833136,0.0004043238733910654
0.0006,VaccinationFull,0.0027265555125973386,0.0005054140653691011
0.0008,AGE75PLUS,0.005275229086920605,0.0004604305358332776
0.0008,VaccinationFull,0.0025323470158697308,0.0004694141726814888
0.001,AGE75PLUS,0.005980925228564888,0.0005220248376690728
0.001,VaccinationFull,0.002299210813216331,0.000426198358654096
0.002,AGE75PLUS,0.005613440791392558,0.0004899502009983804
0.002,VaccinationFull,0.0016517554211385442,0.00030618134071945844
0.004,AGE75PLUS,0.004904756099767861,0.0004280950536815316
0.004,VaccinationFull,0.0013006541654038072,0.00024109867058961094
0.006,AGE75PLUS,0.004105344869337771,0.00035832114716235
0.006,VaccinationFull,0.0010757751503623744,0.00019941346862575318
0.008,AGE75PLUS,0.0036601446321034375,0.00031946334963254354
0.008,VaccinationFull,0.0010180744236452305,0.00018871764426783188
0.01,AGE75PLUS,0.0031166421296385497,0.00027202557123215274
0.01,VaccinationFull,0.0028252396375144837,0.000523706869066413
