Delta,Feature,Mu_star,Morris_sensitivity
0.0001,AGE75PLUS,0.0022942791339597476,0.00020024839748084545
0.0001,VaccinationFull,0.004285886578975151,0.0007944629586973679
0.0002,AGE75PLUS,0.004266960366407859,0.0003724272094183837
0.0002,VaccinationFull,0.003739630436469317,0.0006932049661712171
0.0003,AGE75PLUS,0.003659433072584291,0.000319401243565626
0.0003,VaccinationFull,0.002878332905163981,0.0005335486214615073
0.0004,AGE75PLUS,0.004419930574150571,0.0003857786968243305
0.0004,VaccinationFull,0.003614368165805861,0.0006699854449984855
0.0005,AGE75PLUS,0.0041910830264874,0.0003658045123370756
0.0005,VaccinationFull,0.0031353882287025576,0.0005811982568693113
0.0006,AGE75PLUS,0.004737352828394718,0.00041348382511333803
0.0006,VaccinationFull,0.0028542931527040746,0.0005290924389392398
0.0007,AGE75PLUS,0.005775216275904276,0.0005040702272173554
0.0007,VaccinationFull,0.0026318891667553865,0.00048786602628295026
0.0008,AGE75PLUS,0.005443905620991347,0.00047515289683125803
0.0008,VaccinationFull,0.00253562110293174,0.0004700210811580399
0.0009,AGE75PLUS,0.006110640199394919,0.0005333465703447115
0.0009,VaccinationFull,0.0023637414259772382,0.00043816022012567126
0.001,AGE75PLUS,0.005921546380843383,0.0005168421556996088
0.001,VaccinationFull,0.0023011015285100624,0.00042654883532645613
