Delta,Feature,Mu_star,Morris_sensitivity
-0.001,AGE75PLUS,-1.0878760300197303e-05,-9.495158128091015e-07
-0.001,VaccinationFull,-0.0002566574537628039,-4.7575883386276683e-05
-0.0008,AGE75PLUS,5.717293379702701e-06,4.990146230538831e-07
-0.0008,VaccinationFull,-0.00025318097725497506,-4.6931458537098335e-05
-0.0006,AGE75PLUS,9.887977201886078e-06,8.630386598109385e-07
-0.0006,VaccinationFull,-0.0002561487204726643,-4.7481580901265805e-05
-0.0004,AGE75PLUS,3.2553848000940814e-05,2.8413525614785954e-06
-0.0004,VaccinationFull,-0.0002561816777494997,-4.7487690100653795e-05
-0.0002,AGE75PLUS,7.45207707568375e-05,6.5042935282852e-06
-0.0002,VaccinationFull,-0.0002526901917830639,-4.6840482989585486e-05
0.0002,AGE75PLUS,6.375922718099957e-05,5.565008580963859e-06
0.0002,VaccinationFull,-0.00023520298127904565,-4.35989270733512e-05
0.0004,AGE75PLUS,6.203313944119558e-05,5.4143528483239844e-06
0.0004,VaccinationFull,-0.00022879775437985585,-4.2411607852534316e-05
0.0006,AGE75PLUS,3.946455217014912e-05,3.4445300104927136e-06
0.0006,VaccinationFull,-0.0001990921298336227,-3.690515826921454e-05
0.0008,AGE75PLUS,3.1532370956853914e-05,2.752196391196544e-06
0.0008,VaccinationFull,-0.0002192453060806922,-4.0640896892569555e-05
0.001,AGE75PLUS,3.159943702983595e-05,2.7580500266331386e-06
0.001,VaccinationFull,-0.00021899467194649297,-4.059443753529601e-05
