Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE75PLUS,2.096559297484479e-05,1.8299109002496812e-06
2e-06,VaccinationFull,0.05741975600523088,0.01064374159301829
4e-06,AGE75PLUS,0.006861585914454743,0.0005988903282118288
4e-06,VaccinationFull,0.028948957236141087,0.0053661882537563
6e-06,AGE75PLUS,0.004581696801127728,0.0003998979150307001
6e-06,VaccinationFull,0.019389361575736,0.003594152407177268
8e-06,AGE75PLUS,0.003440322772215937,0.0003002769417878461
8e-06,VaccinationFull,0.014609861552251855,0.0027081896874966804
1e-05,AGE75PLUS,0.002754926565969548,0.00024045445118121777
1e-05,VaccinationFull,0.011749833039227161,0.0021780341006543045
2e-05,AGE75PLUS,0.005075460340222795,0.000442994396175785
2e-05,VaccinationFull,0.011629614423146403,0.0021557495078023724
4e-05,AGE75PLUS,0.0025464023017509924,0.00022225411577845032
4e-05,VaccinationFull,0.005959183908649974,0.001104637463509333
6e-05,AGE75PLUS,0.002244565265769396,0.00019590929057343524
6e-05,VaccinationFull,0.004069342181292468,0.0007543227217353667
8e-05,AGE75PLUS,0.0019222351568061386,0.00016777579677823296
8e-05,VaccinationFull,0.0031252492202908477,0.0005793188168812025
0.0001,AGE75PLUS,0.0022942791339597476,0.00020024839748084545
0.0001,VaccinationFull,0.004285886578975151,0.0007944629586973679
