Delta,Feature,Mu_star,Morris_sensitivity
0.0002,UNDER5,0.0037892045340398367,0.00032044556569315273
0.0002,VaccinationFull,0.004895127651194164,0.0009073962936972908
0.0004,UNDER5,0.004935925980387087,0.00041742154027203036
0.0004,VaccinationFull,0.0037750396552862072,0.0006997686752727203
0.0006,UNDER5,0.004389640851360664,0.00037122328266201007
0.0006,VaccinationFull,0.0033299063650021683,0.000617255546589246
0.0008,UNDER5,0.004597443033556023,0.00038879670400352573
0.0008,VaccinationFull,0.0029876047418900603,0.0005538040400564751
0.001,UNDER5,0.004387347183723166,0.00037102931170662686
0.001,VaccinationFull,0.0027633390101507046,0.0005122325207246025
0.002,UNDER5,0.004800154467999616,0.0004059396108324408
0.002,VaccinationFull,0.002015907758500122,0.0003736832538069533
0.004,UNDER5,0.004666367301338138,0.00039462549360329925
0.004,VaccinationFull,0.0016057623897953533,0.0002976557395195523
0.006,UNDER5,0.00454114870899338,0.00038403600383077525
0.006,VaccinationFull,0.0013406753381844134,0.0002485172848604118
0.008,UNDER5,0.00408996930700497,0.0003458806502729316
0.008,VaccinationFull,0.001263660853090443,0.00023424132245149971
0.01,UNDER5,0.003464889396380511,0.0002930188731468689
0.01,VaccinationFull,0.0033615995436454414,0.0006231304235864529
