Delta,Feature,Mu_star,Morris_sensitivity
0.0001,UNDER5,0.003885243627040856,0.00032856740266682435
0.0001,VaccinationFull,0.0036514200864814048,0.0006768536572068337
0.0002,UNDER5,0.00430408137824207,0.0003639876865051921
0.0002,VaccinationFull,0.004667674791954569,0.0008652339853426739
0.0003,UNDER5,0.007206441329445973,0.0006094345522137371
0.0003,VaccinationFull,0.0034178316146916726,0.0006335540072986826
0.0004,UNDER5,0.006183464530725249,0.0005229234188050736
0.0004,VaccinationFull,0.0037093697002,0.0006875956170608562
0.0005,UNDER5,0.005436758497995298,0.00045977596004028283
0.0005,VaccinationFull,0.0032716150280011082,0.0006064502424340993
0.0006,UNDER5,0.004629840632298714,0.00039153650513142443
0.0006,VaccinationFull,0.003296926851931738,0.0006111422253317811
0.0007,UNDER5,0.0050443699995236695,0.0004265924374210455
0.0007,VaccinationFull,0.002893019711463502,0.0005362710741843048
0.0008,UNDER5,0.004858296703103667,0.00041085658516074877
0.0008,VaccinationFull,0.003025966416513095,0.0005609150377368873
0.0009,UNDER5,0.004507954033877874,0.0003812287955236407
0.0009,VaccinationFull,0.002883781312166611,0.0005345585776205738
0.001,UNDER5,0.004739126962285089,0.00040077863485031714
0.001,VaccinationFull,0.0027306417384341856,0.0005061715177674387
