Delta,Feature,Mu_star,Morris_sensitivity
-0.001,UNDER5,-1.0577618146558624e-05,-8.945283370719467e-07
-0.001,VaccinationFull,0.00018017258813682297,3.33980950754816e-05
-0.0008,UNDER5,1.3786664221270803e-05,1.1659110443153042e-06
-0.0008,VaccinationFull,0.00016063217899351818,2.97759433978562e-05
-0.0006,UNDER5,2.8687919720579286e-05,2.4260808781466886e-06
-0.0006,VaccinationFull,0.00014601026619606207,2.7065519804318254e-05
-0.0004,UNDER5,6.65169173933158e-05,5.625204717978336e-06
-0.0004,VaccinationFull,0.0001386445133611497,2.5700150543506573e-05
-0.0002,UNDER5,0.000152948765658987,1.293457592309222e-05
-0.0002,VaccinationFull,0.00012517411987481193,2.3203180904489046e-05
0.0002,UNDER5,7.037768369055852e-06,5.951702121065207e-07
0.0002,VaccinationFull,0.00017921293576747438,3.322020696607299e-05
0.0004,UNDER5,-7.289236362066633e-05,-6.164363650814168e-06
0.0004,VaccinationFull,0.00022655110049630146,4.1995151826783784e-05
0.0006,UNDER5,-5.9183327683989886e-05,-5.005017477660387e-06
0.0006,VaccinationFull,0.00021574706982863953,3.999243849969889e-05
0.0008,UNDER5,-7.088752879244679e-05,-5.994818717338326e-06
0.0008,VaccinationFull,0.00019635111679753642,3.639706425264402e-05
0.001,UNDER5,-9.485739594243696e-05,-8.02190318044046e-06
0.001,VaccinationFull,0.00019582626223704118,3.6299773412269855e-05
