Delta,Feature,Mu_star,Morris_sensitivity
2e-06,UNDER5,-3.621329695655009e-05,-3.062487211922517e-06
2e-06,VaccinationFull,0.0003621329695655009,6.712758845607794e-05
4e-06,UNDER5,-4.002522295197642e-05,-3.3848542868617294e-06
4e-06,VaccinationFull,0.0002500385207624955,4.634895005569329e-05
6e-06,UNDER5,-3.684861795578781e-05,-3.1162150577457187e-06
6e-06,VaccinationFull,0.00020274681388173765,3.7582616957975214e-05
8e-06,UNDER5,-4.824463021423974e-05,-4.079953373268209e-06
8e-06,VaccinationFull,0.00018898814349199578,3.503221022551568e-05
1e-05,UNDER5,9.153392531401185e-05,7.740843814015913e-06
1e-05,VaccinationFull,0.00017863638196066617,3.311333277918898e-05
2e-05,UNDER5,2.6707332679874297e-05,2.2585865323118946e-06
2e-05,VaccinationFull,0.0001846163408659912,3.42218212464571e-05
4e-05,UNDER5,-1.3151133051145884e-05,-1.112165424754043e-06
4e-05,VaccinationFull,0.00016573539491989518,3.0721912440441196e-05
6e-05,UNDER5,-1.6653343937135463e-05,-1.4083405027831905e-06
6e-05,VaccinationFull,0.00015972764072085349,2.9608271636339817e-05
8e-05,UNDER5,3.918541382264652e-05,3.3138332825573034e-06
8e-05,VaccinationFull,0.0001556635717038547,2.8854926386506533e-05
0.0001,UNDER5,2.359106165742464e-05,1.9950496285445456e-06
0.0001,VaccinationFull,0.00014961333041298895,2.7733409867531462e-05
0.0002,UNDER5,-2.0567720872457174e-05,-1.7393716519616393e-06
0.0002,VaccinationFull,0.00017358558001672627,3.2177079571775256e-05
0.0004,UNDER5,-3.406313244975492e-05,-2.880652033714617e-06
0.0004,VaccinationFull,0.00017290538947191736,3.2050994528984394e-05
0.0006,UNDER5,-3.097745777158222e-05,-2.619702602532053e-06
0.0006,VaccinationFull,0.00014852851980679056,2.7532321521410844e-05
0.0008,UNDER5,-3.2646168083642544e-05,-2.7608221475770567e-06
0.0008,VaccinationFull,0.00015843674786552732,2.9368982392841227e-05
0.001,UNDER5,-1.1375263661101583e-05,-9.61983647502977e-07
0.001,VaccinationFull,0.00015144019594629706,2.8072050886137526e-05
0.002,UNDER5,-6.509578373314593e-05,-5.505022242852561e-06
0.002,VaccinationFull,0.00015257067024931567,2.8281603785627055e-05
0.004,UNDER5,-6.316135041315443e-05,-5.341431026292003e-06
0.004,VaccinationFull,0.00016935684373823757,3.139321040644555e-05
0.006,UNDER5,-4.6787262007363096e-05,-3.95670661388098e-06
0.006,VaccinationFull,0.0001690283430740692,3.1332317145557704e-05
0.008,UNDER5,-2.587356681664354e-05,-2.1880765951209955e-06
0.008,VaccinationFull,0.00017210905430693537,3.1903380078711745e-05
0.01,UNDER5,-1.944959000646374e-05,-1.644813526462343e-06
0.01,VaccinationFull,0.00019123422558665085,3.544856026033707e-05
