Delta,Feature,Mu_star,Morris_sensitivity
2e-06,UNDER5,3.811925995426325e-05,3.223670749392123e-06
2e-06,VaccinationFull,0.02005644862493561,0.0037178084911753066
4e-06,UNDER5,4.193118594968958e-05,3.546037824331336e-06
4e-06,VaccinationFull,0.01033853891303298,0.0019164264060903124
6e-06,UNDER5,3.8754580953500966e-05,3.2773985952153245e-06
6e-06,VaccinationFull,0.007020852947451148,0.001301436121192211
8e-06,UNDER5,0.007890329442470423,0.000667269623210894
8e-06,VaccinationFull,0.005361652596598162,0.0009938747344124476
1e-05,UNDER5,0.02209778264456135,0.0018687659630110503
1e-05,VaccinationFull,0.0043697537157820245,0.00081000917822915
2e-05,UNDER5,0.011069285126356205,0.00093610764535645
2e-05,VaccinationFull,0.009063068474963331,0.001679995973486063
4e-05,UNDER5,0.006104680358987902,0.0005162607965440567
4e-05,VaccinationFull,0.004728372566070492,0.0008764853640998812
6e-05,UNDER5,0.004599970221368303,0.0003890104233002393
6e-05,VaccinationFull,0.003282616246423908,0.0006084895079107754
8e-05,UNDER5,0.004846286158150891,0.000409840877025413
8e-05,VaccinationFull,0.002558177579396239,0.00047420231290544153
0.0001,UNDER5,0.003885243627040856,0.00032856740266682435
0.0001,VaccinationFull,0.0036514200864814048,0.0006768536572068337
