Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE6579,0.3989744186401367,0.06567413554596939
0.001,VaccinationFull,1.1234087944030762,0.34284048864810235
0.002,AGE6579,0.22475290298461914,0.03699598752539441
0.002,VaccinationFull,0.9814844131469727,0.2995281837566525
0.003,AGE6579,0.15753761927286783,0.02593185547328929
0.003,VaccinationFull,0.9342648983001709,0.2851177913648022
0.004,AGE6579,0.12329578399658203,0.02029539652701809
0.004,VaccinationFull,0.9142496585845947,0.27900956558031104
0.005,AGE6579,0.10357494354248047,0.01704920055917262
0.005,VaccinationFull,0.8898701667785645,0.2715694628096958
0.006,AGE6579,0.09111678600311279,0.01499849583057836
0.006,VaccinationFull,0.878207286198934,0.26801019952380567
0.007,AGE6579,0.082204989024571,0.013531548238495233
0.007,VaccinationFull,0.8790916715349469,0.26828009513283285
0.008,AGE6579,0.0748056173324585,0.012313557017105382
0.008,VaccinationFull,0.8798452615737915,0.2685100747969097
0.009,AGE6579,0.07063126564025879,0.01162642790295197
0.009,VaccinationFull,0.8684026930067275,0.2650180460550427
0.01,AGE6579,0.06660122871398926,0.010963054064967106
0.01,VaccinationFull,0.8660518646240234,0.2643006231939529
