Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE80PLUS,0.3489212989807129,0.0689154555374837
0.001,VaccinationFull,1.1104650497436523,0.33889033286680365
0.002,AGE80PLUS,0.19284093379974365,0.038088018237653294
0.002,VaccinationFull,0.9775756597518921,0.2983353152918063
0.003,AGE80PLUS,0.13728046417236328,0.027114268324899767
0.003,VaccinationFull,0.9241526126861572,0.28203173670818027
0.004,AGE80PLUS,0.10746639966964722,0.02122569160966126
0.004,VaccinationFull,0.9004403352737427,0.27479525359042867
0.005,AGE80PLUS,0.09006037712097167,0.017787827608404076
0.005,VaccinationFull,0.8816024780273437,0.2690463399130435
0.006,AGE80PLUS,0.0806967814763387,0.015938423570290742
0.006,VaccinationFull,0.8721624215443929,0.2661654353005777
0.007,AGE80PLUS,0.07204696110316686,0.014229997306041693
0.007,VaccinationFull,0.8692280905587333,0.26526993984603714
0.008,AGE80PLUS,0.06592419743537903,0.013020690082474133
0.008,VaccinationFull,0.8625478744506836,0.2632312798620946
0.009,AGE80PLUS,0.060358656777275935,0.01192143999116124
0.009,VaccinationFull,0.8572408888075087,0.2616117006312579
0.01,AGE80PLUS,0.056412243843078615,0.011141983861960428
0.01,VaccinationFull,0.8519014358520508,0.2599822130667285
