Delta,Feature,Mu_star,Morris_sensitivity
0.1,AgeDist,3.1132676077260858e-06,2.6411478084231786e-07
0.1,HealthDisp,3.4042119500858628e-06,4.161456382684128e-07
0.1,DiseaseSpread,2.7917636135138957e-05,6.469360075653392e-07
0.1,Transmission,5.247134817283978e-06,1.6643430661071228e-07
0.1,VaccinationFull,2.775204923409402e-06,5.161982620657328e-07
0.1,SocialDist,2.6705239103297226e-06,5.92844809258934e-07
0.01,AgeDist,2.4425283188200697e-05,2.072124574274876e-06
0.01,HealthDisp,2.019328612390785e-05,2.4685149062350133e-06
0.01,DiseaseSpread,3.667285086090287e-05,8.498207945381807e-07
0.01,Transmission,2.6667485266146125e-05,8.458681878541503e-07
0.01,VaccinationFull,2.1498988813499522e-05,3.998890520871972e-06
0.01,SocialDist,2.2944781151472726e-05,5.093642619194278e-06
0.001,AgeDist,3.829258962408097e-05,3.248560737711818e-06
0.001,HealthDisp,4.7207031758261437e-05,5.770792374224361e-06
0.001,DiseaseSpread,0.00023914322928115866,5.541671409375049e-06
0.001,Transmission,0.0002063807416624282,6.546207946334115e-06
0.001,VaccinationFull,2.4159389778018415e-05,4.493734826854079e-06
0.001,SocialDist,2.9436319952037475e-07,6.53473628142725e-08
0.0001,AgeDist,6.796815195479527e-05,5.766093962898909e-06
0.0001,HealthDisp,6.865078591066397e-05,8.39216991753432e-06
0.0001,DiseaseSpread,0.0013952236266879044,3.233154835678258e-05
0.0001,Transmission,0.0007269761888494087,2.305901832655376e-05
0.0001,VaccinationFull,3.6068334475984847e-05,6.7088420804744725e-06
0.0001,SocialDist,2.172144285784376e-06,4.822066785501006e-07
