Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE517,-2.282538401893835e-05,-1.9432517148515007e-06
-0.01,VaccinationFull,-4.9405801037821285e-05,-9.158216893062713e-06
-0.009,AGE517,-2.474157039039758e-05,-2.1063873032483357e-06
-0.009,VaccinationFull,-5.318330322377225e-05,-9.858442040843924e-06
-0.008,AGE517,-2.1121167204533124e-05,-1.7981622721361467e-06
-0.008,VaccinationFull,-5.82441445630855e-05,-1.0796556223251937e-05
-0.007,AGE517,-2.5935527631595982e-05,-2.2080355144895187e-06
-0.007,VaccinationFull,-7.544979157800856e-05,-1.3985919493114047e-05
-0.006,AGE517,-2.6006944518921007e-05,-2.214115630760446e-06
-0.006,VaccinationFull,-4.233517069007986e-05,-7.847553672650269e-06
-0.005,AGE517,-2.6906860831316256e-05,-2.290730504614658e-06
-0.005,VaccinationFull,-4.2468858111344454e-05,-7.87233494072197e-06
-0.004,AGE517,-2.2943148707659553e-05,-1.9532776768732816e-06
-0.004,VaccinationFull,-4.2340729748823196e-05,-7.848584140016919e-06
-0.003,AGE517,-1.9609817962471493e-05,-1.669492717050502e-06
-0.003,VaccinationFull,-3.767072332880142e-05,-6.982917947218747e-06
-0.002,AGE517,-4.346834510734524e-05,-3.7007016443412433e-06
-0.002,VaccinationFull,-3.638435713559484e-05,-6.744467798575863e-06
-0.001,AGE517,-5.454770801305186e-05,-4.643949343837249e-06
-0.001,VaccinationFull,-4.0690404038178306e-05,-7.5426678207832e-06
0.001,AGE517,-1.4382396780743524e-05,-1.2244533184924922e-06
0.001,VaccinationFull,-3.260483251112964e-05,-6.043867756952691e-06
0.002,AGE517,-9.860499568669046e-06,-8.394790939863381e-07
0.002,VaccinationFull,-3.9552305883168834e-05,-7.3317017089051185e-06
0.003,AGE517,-2.351211837003938e-05,-2.001717224317509e-06
0.003,VaccinationFull,-4.014879288632815e-05,-7.442270857346698e-06
0.004,AGE517,-3.531380154431683e-05,-3.006460060079685e-06
0.004,VaccinationFull,-3.542375178474741e-05,-6.566403037618688e-06
0.005,AGE517,-4.247962680228154e-05,-3.6165265636404775e-06
0.005,VaccinationFull,-2.1789159586156645e-05,-4.038996336782782e-06
0.006,AGE517,-3.744788448831879e-05,-3.188146393905495e-06
0.006,VaccinationFull,-2.0805571498161788e-05,-3.8566713293126275e-06
0.007,AGE517,-4.212566224556338e-05,-3.5863915949902894e-06
0.007,VaccinationFull,-1.8906744516672205e-05,-3.504691015795014e-06
0.008,AGE517,-3.88716984089542e-05,-3.3093635809025916e-06
0.008,VaccinationFull,-2.7947790610248566e-05,-5.180604761263172e-06
0.009,AGE517,-3.4092066026928545e-05,-2.902446929904528e-06
0.009,VaccinationFull,8.751922662757487e-05,1.6223197335771523e-05
0.01,AGE517,-3.501192083001654e-05,-2.9807592782107835e-06
0.01,VaccinationFull,7.609614447259732e-05,1.410573214413394e-05
