FIPS,Poor or fair health,Adult obesity,Physical inactivity,Diabetes prevalence,Food insecurity
1001,0.198391789,0.33,0.306,0.127,0.156
1003,0.164606753,0.3,0.247,0.103,0.129
1005,0.298414999,0.412,0.28,0.175,0.219
1007,0.238532836,0.374,0.334,0.136,0.151
1009,0.219856096,0.33,0.333,0.146,0.136
1011,0.314449319,0.466,0.424,0.295,0.205
1013,0.27886721,0.468,0.403,0.195,0.191
1015,0.236610574,0.397,0.311,0.17,0.174
1017,0.250739234,0.423,0.287,0.184,0.164
1019,0.22887768,0.384,0.304,0.157,0.156
1021,0.241533327,0.419,0.333,0.19,0.158
1023,0.263823115,0.472,0.337,0.179,0.207
1025,0.267888581,0.361,0.405,0.248,0.211
1027,0.252047245,0.373,0.338,0.162,0.159
1029,0.228225817,0.34,0.26,0.139,0.175
1031,0.215347527,0.367,0.316,0.159,0.156
1033,0.216643468,0.37,0.35,0.167,0.164
1035,0.293171666,0.421,0.426,0.24,0.195
1037,0.256440557,0.448,0.358,0.256,0.164
1039,0.234034393,0.358,0.365,0.167,0.177
1041,0.245175618,0.353,0.344,0.198,0.166
1043,0.218074646,0.357,0.341,0.154,0.151
1045,0.221247228,0.418,0.317,0.156,0.18
1047,0.300707284,0.422,0.329,0.172,0.227
1049,0.271673209,0.303,0.328,0.158,0.166
1051,0.19367015,0.348,0.245,0.151,0.143
1053,0.281678518,0.365,0.335,0.189,0.194
1055,0.219785493,0.362,0.336,0.173,0.166
1057,0.23827758,0.376,0.3,0.196,0.183
1059,0.255503588,0.366,0.369,0.144,0.157
1061,0.263047878,0.413,0.408,0.193,0.19
1063,0.344688464,0.38,0.237,0.218,0.261
1065,0.290984784,0.453,0.318,0.178,0.207
1067,0.234437078,0.35,0.29,0.163,0.151
1069,0.233652908,0.385,0.324,0.164,0.169
1071,0.250116336,0.356,0.339,0.16,0.172
1073,0.202621538,0.346,0.291,0.127,0.161
1075,0.248309775,0.339,0.311,0.216,0.183
1077,0.20474027,0.323,0.27,0.146,0.149
1079,0.236771237,0.327,0.301,0.22,0.165
1081,0.199583298,0.308,0.199,0.103,0.155
1083,0.200952387,0.33,0.264,0.128,0.141
1085,0.311369191,0.436,0.325,0.17,0.234
1087,0.279961769,0.509,0.325,0.168,0.202
1089,0.178568294,0.338,0.243,0.131,0.136
1091,0.266514031,0.45,0.329,0.184,0.201
1093,0.238054861,0.382,0.327,0.188,0.178
1095,0.241483673,0.37,0.372,0.117,0.162
1097,0.212081915,0.378,0.287,0.147,0.168
1099,0.284744968,0.432,0.36,0.226,0.219
1101,0.233172207,0.371,0.291,0.162,0.178
1103,0.204004461,0.356,0.269,0.121,0.149
1105,0.346194037,0.468,0.359,0.205,0.27
1107,0.272748756,0.388,0.263,0.19,0.197
1109,0.246939034,0.383,0.282,0.144,0.188
1111,0.240604854,0.34,0.337,0.179,0.156
1113,0.246886602,0.389,0.324,0.166,0.182
1115,0.214230259,0.367,0.3,0.143,0.141
1117,0.148399763,0.377,0.238,0.105,0.106
1119,0.288332795,0.431,0.33,0.181,0.23
1121,0.268640603,0.39,0.367,0.17,0.177
1123,0.245621891,0.345,0.268,0.143,0.175
1125,0.214850826,0.361,0.275,0.122,0.148
1127,0.241025931,0.394,0.319,0.15,0.18
1129,0.26178284,0.319,0.335,0.125,0.193
1131,0.321449531,0.498,0.346,0.187,0.247
1133,0.243301985,0.356,0.356,0.218,0.171
2013,0.208675847,0.519,0.266,0.145,0.116
2016,0.175366892,0.423,0.269,0.075,0.113
2020,0.144434438,0.302,0.169,0.084,0.115
2050,0.322618156,0.341,0.277,0.065,0.211
2060,0.170401789,0.428,0.277,0.176,0.122
2068,0.144544776,0.234,0.21,0.079,0.149
2070,0.260209024,0.309,0.255,0.083,0.161
2090,0.140356184,0.31,0.182,0.071,0.115
2100,0.133894617,0.291,0.194,0.072,0.133
2105,0.189877394,0.304,0.166,0.151,0.155
2110,0.123552277,0.264,0.177,0.06,0.104
2122,0.157092692,0.33,0.212,0.097,0.139
2130,0.162815473,0.388,0.2,0.108,0.131
2150,0.149423086,0.283,0.247,0.067,0.123
2158,0.419191928,0.231,0.267,0.046,0.28
2164,0.251311587,0.375,0.267,0.118,0.173
2170,0.159116068,0.346,0.202,0.089,0.126
2180,0.280308147,0.403,0.197,0.065,0.191
2185,0.195015328,0.44,0.33,0.055,0.131
2188,0.296433627,0.452,0.242,0.146,0.212
2195,0.149825857,0.255,0.233,0.092,0.138
2198,0.210810681,0.401,0.194,0.12,0.178
2220,0.14237609,0.257,0.181,0.065,0.11
2230,0.12194306,0.259,0.175,0.047,0.13
2240,0.160900547,0.326,0.194,0.104,0.148
2261,0.138781775,0.34,0.222,0.072,0.119
2275,0.176675664,0.361,0.281,0.187,0.132
2282,0.194192665,0.376,0.321,0.098,0.119
2290,0.275384346,0.307,0.251,0.096,0.22
4001,0.311938972,0.354,0.259,0.163,0.226
4003,0.199768029,0.309,0.244,0.103,0.144
4005,0.178527584,0.245,0.165,0.077,0.143
4007,0.220079645,0.311,0.265,0.137,0.177
4009,0.222286528,0.339,0.229,0.12,0.146
4011,0.200998222,0.302,0.189,0.115,0.118
4012,0.263079847,0.33,0.381,0.178,0.175
