Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AIAN,-9.244830636240245e-05,-7.5768734193398504e-06
-0.01,VaccinationFull,0.0001661620923860082,3.08010081713128e-05
-0.009,AIAN,-7.31310590144216e-05,-5.993671479523094e-06
-0.009,VaccinationFull,0.00019199871793371693,3.5590272095393806e-05
-0.008,AIAN,-9.247381052976561e-05,-7.578963688544121e-06
-0.008,VaccinationFull,0.00022540400857839658,4.178251856591609e-05
-0.007,AIAN,-0.0001042352784520422,-8.542909456499885e-06
-0.007,VaccinationFull,0.0002656267794898279,4.9238502525469084e-05
-0.006,AIAN,-0.00011788150836993686,-9.6613264487353e-06
-0.006,VaccinationFull,-6.474953378856137e-05,-1.2002442257871497e-05
-0.005,AIAN,-8.952079484698998e-05,-7.336940584886531e-06
-0.005,VaccinationFull,-6.206358720008405e-05,-1.1504555756615777e-05
-0.004,AIAN,-9.661254961795606e-05,-7.91816624855604e-06
-0.004,VaccinationFull,-6.168315698574051e-05,-1.1434036458427183e-05
-0.003,AIAN,-8.435633397628648e-05,-6.913671973095412e-06
-0.003,VaccinationFull,-6.769377012927878e-05,-1.254820721717427e-05
-0.002,AIAN,-0.00020352754397467594,-1.668069971990745e-05
-0.002,VaccinationFull,-6.437461498388621e-05,-1.1932944594472125e-05
-0.001,AIAN,-0.00017923199539745152,-1.4689486430380746e-05
-0.001,VaccinationFull,-7.055350877709757e-05,-1.3078309072503956e-05
0.001,AIAN,-0.00013245061010933138,-1.0855380121067037e-05
0.001,VaccinationFull,-7.746929551429978e-05,-1.4360269360466476e-05
0.002,AIAN,-3.869057236282777e-05,-3.1709998900983283e-06
0.002,VaccinationFull,-7.604887659025404e-05,-1.4096970227324936e-05
0.003,AIAN,-6.102401144903137e-05,-5.0014027133946175e-06
0.003,VaccinationFull,-7.208431472476086e-05,-1.3362070343354692e-05
0.004,AIAN,4.115212357437432e-06,3.3727435745309934e-07
0.004,VaccinationFull,-6.866017278424425e-05,-1.2727346608385236e-05
0.005,AIAN,-6.466741854940989e-06,-5.300008880461394e-07
0.005,VaccinationFull,-6.863058270870476e-05,-1.272186157780218e-05
0.006,AIAN,7.458827361300652e-06,6.113101796775313e-07
0.006,VaccinationFull,-6.307458938919602e-05,-1.1691962440299756e-05
0.007,AIAN,7.657887044383242e-07,6.276247026899732e-08
0.007,VaccinationFull,-5.6976449432994914e-05,-1.0561567078014493e-05
0.008,AIAN,7.298647054367842e-07,5.981821305260058e-08
0.008,VaccinationFull,-5.3443083333189724e-05,-9.906596762284985e-06
0.009,AIAN,-3.525613292778186e-05,-2.889520283930931e-06
0.009,VaccinationFull,-0.00029379646635865995,-5.446023958336906e-05
0.01,AIAN,-4.402641107307565e-05,-3.6083142778284616e-06
0.01,VaccinationFull,-0.0002697861557327266,-5.000951461255493e-05
