Delta,Feature,Mu_star,Morris_sensitivity
-0.01,Asian,4.6296460652426975e-05,3.1471941765087303e-06
-0.01,VaccinationFull,0.0004034033581438833,7.477776640932e-05
-0.009,Asian,4.81196360295978e-05,3.271132094201048e-06
-0.009,VaccinationFull,0.0004083814793655104,7.57005469919629e-05
-0.008,Asian,5.09226259527451e-05,3.4616769747086552e-06
-0.008,VaccinationFull,0.0004168813993067494,7.727615367701481e-05
-0.007,Asian,5.290047949227826e-05,3.596129782847448e-06
-0.007,VaccinationFull,0.00042141086931823447,7.811576902388568e-05
-0.006,Asian,5.9647350258808136e-05,4.054776342149098e-06
-0.006,VaccinationFull,0.00033834718667503987,6.271848357150408e-05
-0.005,Asian,6.405045832705014e-05,4.35409589866866e-06
-0.005,VaccinationFull,0.0003379551618524602,6.26458150128079e-05
-0.004,Asian,6.903707696704203e-05,4.693082009552488e-06
-0.004,VaccinationFull,0.0003355014250892043,6.21909726055534e-05
-0.003,Asian,7.849375062557059e-05,5.33593867392483e-06
-0.003,VaccinationFull,0.0003351459629901308,6.212508157793731e-05
-0.002,Asian,8.386761329762287e-05,5.701249306066079e-06
-0.002,VaccinationFull,0.00032525187082362706,6.0291041037810685e-05
-0.001,Asian,9.134613560989989e-05,6.209632917651191e-06
-0.001,VaccinationFull,0.00031416607529280313,5.8236097736199e-05
0.001,Asian,3.086850022021295e-05,2.098414495655833e-06
0.001,VaccinationFull,0.0003413179476674754,6.3269165332242e-05
0.002,Asian,6.744726558157454e-06,4.5850079783289307e-07
0.002,VaccinationFull,0.0003402272603420341,6.306698763490522e-05
0.003,Asian,2.174576716190871e-05,1.478258830399083e-06
0.003,VaccinationFull,0.00033825458863940097,6.270131892936817e-05
0.004,Asian,3.3751150131566754e-05,2.2943745946801738e-06
0.004,VaccinationFull,0.00033909952586082465,6.285794260861781e-05
0.005,Asian,3.0492930211513572e-05,2.072883564617197e-06
0.005,VaccinationFull,0.0003459062676900202,6.411968954313537e-05
0.006,Asian,3.4570912758395677e-05,2.350101363614944e-06
0.006,VaccinationFull,0.00034938993920816537,6.476544811150542e-05
0.007,Asian,3.833504219364721e-05,2.605983693955194e-06
0.007,VaccinationFull,0.0003527216646333286,6.538304085225297e-05
0.008,Asian,3.5047085847324344e-05,2.3824712068247166e-06
0.008,VaccinationFull,0.0003642399520981291,6.751815398924139e-05
0.009,Asian,3.2944941019388234e-05,2.2395691821898886e-06
0.009,VaccinationFull,0.00040821915485020517,7.567045734485671e-05
0.01,Asian,3.0674187292596096e-05,2.0852052674427455e-06
0.01,VaccinationFull,0.0004007454927435723,7.42850852403621e-05
