Delta,Feature,Mu_star,Morris_sensitivity
-0.01,Black,1.3404542464766785e-05,2.2306043974534625e-06
-0.01,VaccinationFull,0.00018945053011524098,3.5117921556881176e-05
-0.009,Black,1.3592004514275197e-05,2.261799320598971e-06
-0.009,VaccinationFull,0.00018562687185869542,3.440914058576429e-05
-0.008,Black,1.3884285263559925e-05,2.310436767670302e-06
-0.008,VaccinationFull,0.00018286946621724341,3.389800791720903e-05
-0.007,Black,1.6158958504933376e-05,2.688957418286602e-06
-0.007,VaccinationFull,0.00017831059842827134,3.305294318551402e-05
-0.006,Black,2.2066048360649424e-05,3.67193618410024e-06
-0.006,VaccinationFull,0.0002282033321699441,4.230142144911464e-05
-0.005,Black,2.9460660651952123e-05,4.902448507650121e-06
-0.005,VaccinationFull,0.0002273573704934091,4.214460786945027e-05
-0.004,Black,2.2149791609861447e-05,3.6858716138577547e-06
-0.004,VaccinationFull,0.00022675384731018323,4.2032734443741765e-05
-0.003,Black,-2.6159342143613157e-07,-4.353087304054313e-08
-0.003,VaccinationFull,0.0002313696131998951,4.2888346219233905e-05
-0.002,Black,-2.935564209077813e-05,-4.884972725467725e-06
-0.002,VaccinationFull,0.00023368488175136716,4.3317521156481386e-05
-0.001,Black,-8.466192337691983e-05,-1.4088303206006597e-05
-0.001,VaccinationFull,0.00024375027234229036,4.518331481246321e-05
0.001,Black,2.9632959706945394e-05,4.931120208363163e-06
0.001,VaccinationFull,0.00021719401340440344,4.026065443427559e-05
0.002,Black,6.426764281063956e-05,1.069456022420644e-05
0.002,VaccinationFull,0.00022350132145458571,4.142982270847704e-05
0.003,Black,3.780636436213867e-05,6.291228724857607e-06
0.003,VaccinationFull,0.0002151354145366234,3.9879057647442594e-05
0.004,Black,1.5678094251126406e-05,2.608938430548726e-06
0.004,VaccinationFull,0.00022194724687532537,4.114174819564876e-05
0.005,Black,1.0437625164376591e-05,1.736889763438443e-06
0.005,VaccinationFull,0.00022529978813922786,4.176319951093575e-05
0.006,Black,1.3687832098326887e-05,2.277745663485711e-06
0.006,VaccinationFull,0.0002268003051582525,4.2041346206734484e-05
0.007,Black,1.7092199672742213e-05,2.84425491227199e-06
0.007,VaccinationFull,0.000225378490797012,4.1777788405253975e-05
0.008,Black,1.0205776677973522e-05,1.6983086440400783e-06
0.008,VaccinationFull,0.00022068883480608523,4.090847982576388e-05
0.009,Black,1.0941657079121839e-05,1.8207640029690197e-06
0.009,VaccinationFull,0.00023740579801365268,4.400725712786758e-05
0.01,Black,1.0192804217320336e-05,1.696149940909789e-06
0.01,VaccinationFull,0.00023299311248134715,4.318928979737542e-05
