Delta,Feature,Mu_star,Morris_sensitivity
-0.01,Hispanic,-2.3195569682169187e-06,-3.3802122737522756e-07
-0.01,VaccinationFull,0.0002527224025577253,4.6846453811927115e-05
-0.009,Hispanic,-2.0413922573840035e-06,-2.974852206047207e-07
-0.009,VaccinationFull,0.0002529777804220522,4.6893792501353536e-05
-0.008,Hispanic,-1.7451473697811145e-06,-2.543144505467894e-07
-0.008,VaccinationFull,0.0002544626778095935,4.716904382920135e-05
-0.007,Hispanic,-4.1222576135182645e-06,-6.007227229902689e-07
-0.007,VaccinationFull,0.0002571942546270884,4.767538867999184e-05
-0.006,Hispanic,-3.572489393838609e-06,-5.206068513241102e-07
-0.006,VaccinationFull,0.00023045776873573915,4.271932012917849e-05
-0.005,Hispanic,-2.8250183552104494e-06,-4.116804134885475e-07
-0.005,VaccinationFull,0.0002334353911949665,4.3271273781066116e-05
-0.004,Hispanic,-1.7987525790917972e-07,-2.6212615721887513e-08
-0.004,VaccinationFull,0.0002344822890205354,4.346533433974618e-05
-0.003,Hispanic,-1.3203558666657934e-06,-1.9241101500755044e-07
-0.003,VaccinationFull,0.00022986469658295072,4.260938398211928e-05
-0.002,Hispanic,-1.3811084372179005e-05,-2.0126428256924755e-06
-0.002,VaccinationFull,0.0002262987986444792,4.194838332930025e-05
-0.001,Hispanic,2.5072943234916652e-05,3.6537956007568762e-06
-0.001,VaccinationFull,0.0002290691158616553,4.246190938098924e-05
0.001,Hispanic,2.5315000535626225e-05,3.6890697962183834e-06
0.001,VaccinationFull,0.0002390787570348954,4.43173689213798e-05
0.002,Hispanic,1.882138460241748e-05,2.742777009310084e-06
0.002,VaccinationFull,0.00023966841433731292,4.442667206705665e-05
0.003,Hispanic,1.3512959993286703e-05,1.9691981636969056e-06
0.003,VaccinationFull,0.0002347017130106471,4.350600835880411e-05
0.004,Hispanic,8.955524512817365e-06,1.3050584353349544e-06
0.004,VaccinationFull,0.000232759060225228,4.314590417704696e-05
0.005,Hispanic,2.765266415232142e-06,4.02972964451396e-07
0.005,VaccinationFull,0.000234177573186276,4.340885000709136e-05
0.006,Hispanic,2.1307078011935064e-06,3.1050087409193905e-07
0.006,VaccinationFull,0.00024041515475679194,4.456509327632254e-05
0.007,Hispanic,-7.186162531943514e-07,-1.0472152710406114e-07
0.007,VaccinationFull,0.0002439797366731936,4.522584998176499e-05
0.008,Hispanic,-1.673912002741585e-06,-2.4393356034699555e-07
0.008,VaccinationFull,0.00025595665499308223,4.744597825374803e-05
0.009,Hispanic,-4.899913206620922e-07,-7.140478543224987e-08
0.009,VaccinationFull,0.0005066791385188196,9.392171259794526e-05
0.01,Hispanic,-3.3068934501072795e-06,-4.819024486661497e-07
0.01,VaccinationFull,0.00047943727292460526,8.887196320733241e-05
