Delta,Feature,Mu_star,Morris_sensitivity
-0.01,White,-1.1229933982525953e-05,-2.4016447665534577e-06
-0.01,VaccinationFull,0.00017451831065873214,3.2349977274936795e-05
-0.009,White,-1.3527466489435965e-05,-2.8929973363720153e-06
-0.009,VaccinationFull,0.00019364774653065503,3.589594797224197e-05
-0.008,White,-1.5235076976845451e-05,-3.258188600789078e-06
-0.008,VaccinationFull,0.00021140459123750603,3.91874852359994e-05
-0.007,White,-1.911796605888306e-05,-4.088587092667445e-06
-0.007,VaccinationFull,0.0002377407029403937,4.40693375292217e-05
-0.006,White,-1.9360772130770306e-05,-4.1405138388747496e-06
-0.006,VaccinationFull,1.4744450335184121e-05,2.7331380384914035e-06
-0.005,White,-1.9551749623141162e-05,-4.1813564739067685e-06
-0.005,VaccinationFull,1.4207619973853227e-05,2.63362727699022e-06
-0.004,White,-2.2890972970597153e-05,-4.895486075135906e-06
-0.004,VaccinationFull,1.556385559395097e-05,2.8850289283356603e-06
-0.003,White,-2.762963376609905e-05,-5.9089007503866805e-06
-0.003,VaccinationFull,1.9209883393451345e-05,3.560883032196843e-06
-0.002,White,-1.1660443374634414e-05,-2.493713930104928e-06
-0.002,VaccinationFull,1.6499683425828136e-05,3.0585007490300516e-06
-0.001,White,-1.4018357848180311e-05,-2.997979846911182e-06
-0.001,VaccinationFull,1.9615218190965012e-05,3.6360188241880325e-06
0.001,White,4.61052449146814e-06,9.860113187869679e-07
0.001,VaccinationFull,2.301450319738644e-05,4.266134897932322e-06
0.002,White,-2.0834558018752007e-06,-4.455699143650286e-07
0.002,VaccinationFull,1.8324404750763775e-05,3.396744301651829e-06
0.003,White,-1.155156523839005e-05,-2.4704291444142685e-06
0.003,VaccinationFull,1.6258340861242703e-05,3.0137637443550466e-06
0.004,White,-1.3639190334322748e-05,-2.9168907081219373e-06
0.004,VaccinationFull,2.1365011345553054e-05,3.960373148803601e-06
0.005,White,-1.953936086365603e-05,-4.1787070015743525e-06
0.005,VaccinationFull,2.0294026912600555e-05,3.761847722233465e-06
0.006,White,-1.623538989014524e-05,-3.4721165078346998e-06
0.006,VaccinationFull,2.180389903333896e-05,4.041728547400644e-06
0.007,White,-1.5047986287587785e-05,-3.2181772013075036e-06
0.007,VaccinationFull,2.5208743098503717e-05,4.672875088511584e-06
0.008,White,-1.3450857365611217e-05,-2.876613633530107e-06
0.008,VaccinationFull,2.7491908085733048e-05,5.096099076716655e-06
0.009,White,-1.4791119956919792e-05,-3.163243514278489e-06
0.009,VaccinationFull,2.7239970219899915e-05,5.04939805031069e-06
0.01,White,-1.3222475349410236e-05,-2.8277716301098306e-06
0.01,VaccinationFull,2.67879763893339e-05,4.9656132022220825e-06
